scientific_name_id,scientific_name,korean_name,family_scientific_name,family_korean_name,genus_scientific_name,genus_korean_name,species_name,subspecies_name,resource_type
3511,Dryopteris tokyoensis (Matsum. ex Makino) C.Chr.,느리미고사리,Dryopteridaceae,면마과,Dryopteris,관중속,tokyoensis,,자생종
12330,Sophora flavescens Solander ex Aiton,느삼,Leguminosae,콩과,Sophora,고삼속,flavescens,,자생종
12263,Echinosophora koreensis (Nakai) Nakai,느삼나무,Leguminosae,콩과,Echinosophora,개느삼속,koreensis,,자생종
1046,Zelkova serrata (Thunb.) Makino,느티나무,Ulmaceae,느릅나무과,Zelkova,느티나무속,serrata,,자생종
33273,Zelkova serrata 'Goblin',느티나무 '고블랭',Ulmaceae,느릅나무과,Zelkova,느티나무속,serrata,,재배품종
33275,Zelkova serrata 'Urban Ruby',느티나무 '어번 루비',Ulmaceae,느릅나무과,Zelkova,느티나무속,serrata,,재배품종
33272,Zelkova serrata 'Fastigiata',느티나무 '파스티기아타',Ulmaceae,느릅나무과,Zelkova,느티나무속,serrata,,재배품종
8442,Cardamine komarovii Nakai,는장이냉이,Cruciferae,십자화과,Cardamine,황새냉이속,komarovii,,자생종
15482,Chenopodium album var. centrorubrum Makino,는쟁이,Chenopodiaceae,명아주과,Chenopodium,명아주속,album,centrorubrum,자생종
8442,Cardamine komarovii Nakai,는쟁이냉이,Cruciferae,십자화과,Cardamine,황새냉이속,komarovii,,자생종
8304,Arabis pendula L.,늘어진장대,Cruciferae,십자화과,Arabis,장대나물속,pendula,,자생종
10642,Rubus buergeri Miq.,늘푸른줄딸기,Rosaceae,장미과,Rubus,산딸기속,buergeri,,자생종
12497,Malus asiatica Nakai,능금,Rosaceae,장미과,Malus,사과나무속,asiatica,,자생종
12497,Malus asiatica Nakai,능금나무,Rosaceae,장미과,Malus,사과나무속,asiatica,,자생종
12541,Malus pumila Mill.,능금나무,Rosaceae,장미과,Malus,사과나무속,pumila,,자생종
7901,Campsis grandifolia (Thunb.) K.Schum.,능소화,Bignoniaceae,능소화과,Campsis,능소화속,grandifolia,,자생종
7901,Campsis grandifolia (Thunb.) K.Schum.,능소화나무,Bignoniaceae,능소화과,Campsis,능소화속,grandifolia,,자생종
2015,Euphorbia sieboldiana Morren & Decne.,능수버들,Euphorbiaceae,대극과,Euphorbia,대극속,sieboldiana,,자생종
16874,Salix pseudolasiogyne H.Lev.,능수버들,Salicaceae,버드나무과,Salix,버드나무속,pseudolasiogyne,,자생종
2012,Euphorbia pekinensis Rupr.,능수버들,Euphorbiaceae,대극과,Euphorbia,대극속,pekinensis,,자생종
313,Equisetum sylvaticum L.,능수쇠뜨기,Equisetaceae,속새과,Equisetum,속새속,sylvaticum,,자생종
17109,Spiraea thunbergii Siebold ex Blume,능수조팝나무,Rosaceae,장미과,Spiraea,조팝나무속,thunbergii,,자생종
416,Eragrostis curvula Nees,능수참새그령,Gramineae,벼과,Eragrostis,참새그령속,curvula,,자생종
15482,Chenopodium album var. centrorubrum Makino,능쟁이,Chenopodiaceae,명아주과,Chenopodium,명아주속,album,centrorubrum,자생종
27981,Echinocactus texensis Hopffer,능파선인장,Cactaceae,선인장과,Echinocactus,에키노칵투스속,texensis,,재배품종
